Date,Close
1999-03-10,51.06250000
1999-03-11,51.31250000
1999-03-12,50.06250000
1999-03-15,51.50000000
1999-03-16,51.93750000
1999-03-17,51.56250000
1999-03-18,52.56250000
1999-03-19,51.21875000
1999-03-22,50.59375000
1999-03-23,48.81250000
1999-03-24,50.46875000
1999-03-25,52.31250000
1999-03-26,51.75000000
1999-03-29,53.62500000
1999-03-30,53.25000000
1999-03-31,52.46875000
1999-04-01,53.56250000
1999-04-05,55.50000000
1999-04-06,55.60937500
1999-04-07,55.03125000
1999-04-08,55.46875000
1999-04-09,55.81250000
1999-04-12,55.43750000
1999-04-13,54.68750000
1999-04-14,52.81250000
1999-04-15,53.53125000
1999-04-16,51.96875000
1999-04-19,49.53125000
1999-04-20,50.65625000
1999-04-21,53.15625000
1999-04-22,54.59375000
1999-04-23,55.31250000
1999-04-26,56.58593750
1999-04-27,55.71875000
1999-04-28,53.81250000
1999-04-29,53.37500000
1999-04-30,53.71875000
1999-05-03,53.43750000
1999-05-04,52.59375000
1999-05-05,54.18750000
1999-05-06,52.21875000
1999-05-07,52.96875000
1999-05-10,53.50000000
1999-05-11,54.34375000
1999-05-12,55.46875000
1999-05-13,54.43750000
1999-05-14,53.40625000
1999-05-17,54.36718750
1999-05-18,54.12500000
1999-05-19,54.87500000
1999-05-20,53.36718750
1999-05-21,52.87500000
1999-05-24,51.53125000
1999-05-25,49.84375000
1999-05-26,51.23437500
1999-05-27,51.18750000
1999-05-28,52.03125000
1999-06-01,50.87500000
1999-06-02,51.73437500
1999-06-03,51.00000000
1999-06-04,52.56250000
1999-06-07,53.65625000
1999-06-08,52.31250000
1999-06-09,53.18750000
1999-06-10,52.57812500
1999-06-11,51.78125000
1999-06-14,50.80468750
1999-06-15,51.56250000
1999-06-16,54.21093750
1999-06-17,54.81250000
1999-06-18,55.06250000
1999-06-21,56.71093750
1999-06-22,55.00000000
1999-06-23,55.86718750
1999-06-24,54.75781250
1999-06-25,54.68750000
1999-06-28,55.98437500
1999-06-29,56.75000000
1999-06-30,57.62500000
1999-07-01,58.01562500
1999-07-02,58.75000000
1999-07-06,58.37500000
1999-07-07,58.46875000
1999-07-08,59.25000000
1999-07-09,59.84375000
1999-07-12,59.53125000
1999-07-13,59.25000000
1999-07-14,60.25781250
1999-07-15,60.81250000
1999-07-16,61.37500000
1999-07-19,60.75000000
1999-07-20,58.40625000
1999-07-21,58.68750000
1999-07-22,57.19531250
1999-07-23,57.28125000
1999-07-26,55.87500000
1999-07-27,57.00000000
1999-07-28,58.11718750
1999-07-29,56.87500000
1999-07-30,56.59375000
1999-08-02,56.43750000
1999-08-03,56.07031250
1999-08-04,55.05468750
1999-08-05,55.92968750
1999-08-06,55.32812500
1999-08-09,54.61718750
1999-08-10,54.12500000
1999-08-11,55.90625000
1999-08-12,55.25000000
1999-08-13,57.65625000
1999-08-16,58.11718750
1999-08-17,58.40625000
1999-08-18,57.75000000
1999-08-19,57.06250000
1999-08-20,57.96875000
1999-08-23,59.81250000
1999-08-24,60.21875000
1999-08-25,61.50000000
1999-08-26,60.47656250
1999-08-27,59.87500000
1999-08-30,59.03125000
1999-08-31,59.68750000
1999-09-01,60.11718750
1999-09-02,59.90625000
1999-09-03,62.65625000
1999-09-07,62.37500000
1999-09-08,61.53125000
1999-09-09,62.40625000
1999-09-10,63.12500000
1999-09-13,62.36718750
1999-09-14,62.71093750
1999-09-15,61.50000000
1999-09-16,61.46875000
1999-09-17,63.31250000
1999-09-20,63.46093750
1999-09-21,61.93750000
1999-09-22,62.59375000
1999-09-23,60.00000000
1999-09-24,60.07812500
1999-09-27,60.50000000
1999-09-28,60.78125000
1999-09-29,59.56250000
1999-09-30,60.18750000
1999-10-01,60.21093750
1999-10-04,61.56250000
1999-10-05,62.00000000
1999-10-06,63.24218750
1999-10-07,63.09375000
1999-10-08,63.75781250
1999-10-11,64.65625000
1999-10-12,63.18750000
1999-10-13,61.31250000
1999-10-14,61.69531250
1999-10-15,59.87500000
1999-10-18,59.11718750
1999-10-19,59.43750000
1999-10-20,61.25000000
1999-10-21,62.25000000
1999-10-22,61.96875000
1999-10-25,62.00000000
1999-10-26,61.50000000
1999-10-27,61.40625000
1999-10-28,63.53125000
1999-10-29,65.75000000
1999-11-01,65.40625000
1999-11-02,65.44531250
1999-11-03,66.75000000
1999-11-04,67.50000000
1999-11-05,68.18750000
1999-11-08,69.56250000
1999-11-09,69.09375000
1999-11-10,70.00000000
1999-11-11,71.25000000
1999-11-12,72.18750000
1999-11-15,72.04687500
1999-11-16,73.87500000
1999-11-17,72.87500000
1999-11-18,75.10937500
1999-11-19,75.78125000
1999-11-22,74.62500000
1999-11-23,74.96875000
1999-11-24,77.43750000
1999-11-26,77.68750000
1999-11-29,76.40625000
1999-11-30,73.50000000
1999-12-01,75.09375000
1999-12-02,77.47656250
1999-12-03,79.12500000
1999-12-06,79.84375000
1999-12-07,79.84375000
1999-12-08,78.87500000
1999-12-09,79.25000000
1999-12-10,79.90625000
1999-12-13,80.99218750
1999-12-14,79.53125000
1999-12-15,81.06250000
1999-12-16,83.06250000
1999-12-17,83.78125000
1999-12-20,84.87500000
1999-12-21,89.43750000
1999-12-22,89.15625000
1999-12-23,90.21875000
1999-12-27,89.68750000
1999-12-28,89.12500000
1999-12-29,92.50000000
1999-12-30,91.50000000
1999-12-31,91.37500000
2000-01-03,94.75000000
2000-01-04,88.25000000
2000-01-05,86.00000000
2000-01-06,80.09375000
2000-01-07,90.00000000
2000-01-10,92.50000000
2000-01-11,88.00000000
2000-01-12,86.06250000
2000-01-13,91.25000000
2000-01-14,93.37500000
